date,nav_historical,nav_api,difference
2019-04-01,56.1772,56.1772,0.0
2019-04-02,56.0011,56.0011,0.0
2019-04-03,55.6601,55.6601,0.0
2019-04-04,55.6447,55.6447,0.0
2019-04-05,56.0191,56.0191,0.0
2019-04-08,55.8828,55.8828,0.0
2019-04-09,55.6612,55.6612,0.0
2019-04-10,55.6388,55.6388,0.0
2019-04-11,55.7987,55.7987,0.0
2019-04-12,55.9226,55.9226,0.0
2019-04-15,56.1536,56.1536,0.0
2019-04-16,56.1267,56.1267,0.0
2019-04-18,55.7232,55.7232,0.0
2019-04-22,54.9458,54.9458,0.0
2019-04-23,55.0555,55.0555,0.0
2019-04-24,55.2723,55.2723,0.0
2019-04-25,55.3592,55.3592,0.0
2019-04-26,55.3187,55.3187,0.0
2019-04-30,55.083,55.083,0.0
2019-05-02,55.0024,55.0024,0.0
2019-05-03,54.897,54.897,0.0
2019-05-06,54.4976,54.4976,0.0
2019-05-07,54.3424,54.3424,0.0
2019-05-08,53.8583,53.8583,0.0
2019-05-09,53.7084,53.7084,0.0
2019-05-10,53.706,53.706,0.0
2019-05-13,52.8389,52.8389,0.0
2019-05-14,53.1004,53.1004,0.0
2019-05-15,53.0303,53.0303,0.0
2019-05-16,52.9338,52.9338,0.0
2019-05-17,53.073,53.073,0.0
2019-05-20,54.4867,54.4867,0.0
2019-05-21,54.0838,54.0838,0.0
2019-05-22,54.0958,54.0958,0.0
2019-05-23,53.9873,53.9873,0.0
2019-05-24,54.9948,54.9948,0.0
2019-05-27,55.9036,55.9036,0.0
2019-05-28,56.5415,56.5415,0.0
2019-05-29,56.3573,56.3573,0.0
2019-05-30,56.1882,56.1882,0.0
2019-05-31,56.4804,56.4804,0.0
2019-06-03,56.7417,56.7417,0.0
2019-06-04,56.7067,56.7067,0.0
2019-06-06,56.1253,56.1253,0.0
2019-06-07,56.094,56.094,0.0
2019-06-10,55.7431,55.7431,0.0
2019-06-11,55.677,55.677,0.0
2019-06-12,55.6663,55.6663,0.0
2019-06-13,55.3583,55.3583,0.0
2019-06-14,55.2265,55.2265,0.0
2019-06-17,54.651,54.651,0.0
2019-06-18,54.3588,54.3588,0.0
2019-06-19,54.0946,54.0946,0.0
2019-06-20,54.4507,54.4507,0.0
2019-06-21,54.4826,54.4826,0.0
